id	label	model
430350	Abusive	bangla-bert
321512	None	bangla-bert
791877	Political Hate	bangla-bert
369126	Religious Hate	bangla-bert
769210	None	bangla-bert
389866	None	bangla-bert
124392	None	bangla-bert
111565	Abusive	bangla-bert
87928	Political Hate	bangla-bert
507897	Abusive	bangla-bert
284276	None	bangla-bert
211557	None	bangla-bert
407528	Abusive	bangla-bert
656024	None	bangla-bert
163256	None	bangla-bert
701482	None	bangla-bert
28613	Political Hate	bangla-bert
393451	None	bangla-bert
130986	None	bangla-bert
47847	None	bangla-bert
474831	Religious Hate	bangla-bert
262358	Abusive	bangla-bert
809182	None	bangla-bert
912597	None	bangla-bert
491193	None	bangla-bert
605569	None	bangla-bert
380424	None	bangla-bert
603456	Abusive	bangla-bert
107100	Political Hate	bangla-bert
626831	None	bangla-bert
447213	None	bangla-bert
697862	None	bangla-bert
91497	Political Hate	bangla-bert
652526	None	bangla-bert
24792	None	bangla-bert
571083	Abusive	bangla-bert
890268	Abusive	bangla-bert
5297	None	bangla-bert
920594	Abusive	bangla-bert
172944	Political Hate	bangla-bert
624079	None	bangla-bert
770329	None	bangla-bert
692607	Abusive	bangla-bert
3052	Political Hate	bangla-bert
844455	Profane	bangla-bert
814896	Profane	bangla-bert
110591	None	bangla-bert
180575	None	bangla-bert
254322	None	bangla-bert
574720	None	bangla-bert
622377	None	bangla-bert
623083	Political Hate	bangla-bert
668718	Abusive	bangla-bert
633172	None	bangla-bert
6790	None	bangla-bert
850984	Political Hate	bangla-bert
500524	Political Hate	bangla-bert
581344	None	bangla-bert
654769	None	bangla-bert
706547	None	bangla-bert
603782	None	bangla-bert
302171	None	bangla-bert
744717	None	bangla-bert
512972	Abusive	bangla-bert
781353	None	bangla-bert
384814	None	bangla-bert
15032	None	bangla-bert
251425	Abusive	bangla-bert
813466	None	bangla-bert
675844	Abusive	bangla-bert
2583	Religious Hate	bangla-bert
659227	None	bangla-bert
169886	None	bangla-bert
381979	None	bangla-bert
299641	Abusive	bangla-bert
704171	None	bangla-bert
618279	Abusive	bangla-bert
641060	None	bangla-bert
562096	None	bangla-bert
318122	Profane	bangla-bert
451639	None	bangla-bert
653504	None	bangla-bert
144836	Abusive	bangla-bert
426811	Abusive	bangla-bert
399359	None	bangla-bert
610564	Political Hate	bangla-bert
246780	None	bangla-bert
838887	None	bangla-bert
144994	None	bangla-bert
854277	None	bangla-bert
865313	None	bangla-bert
578428	None	bangla-bert
187917	None	bangla-bert
348388	Abusive	bangla-bert
741123	None	bangla-bert
634544	None	bangla-bert
778366	None	bangla-bert
441000	None	bangla-bert
377994	None	bangla-bert
362805	Religious Hate	bangla-bert
12475	None	bangla-bert
460383	Abusive	bangla-bert
870913	Abusive	bangla-bert
2715	None	bangla-bert
921356	None	bangla-bert
196647	Political Hate	bangla-bert
824151	None	bangla-bert
382540	Abusive	bangla-bert
1087	None	bangla-bert
380610	None	bangla-bert
416517	None	bangla-bert
456028	Profane	bangla-bert
431471	None	bangla-bert
453235	Political Hate	bangla-bert
927587	None	bangla-bert
422259	None	bangla-bert
896697	None	bangla-bert
42562	None	bangla-bert
197313	Political Hate	bangla-bert
690302	Abusive	bangla-bert
925174	None	bangla-bert
535584	None	bangla-bert
931365	None	bangla-bert
227393	Abusive	bangla-bert
329379	None	bangla-bert
56445	None	bangla-bert
546158	Political Hate	bangla-bert
258725	None	bangla-bert
175825	None	bangla-bert
937532	None	bangla-bert
833099	None	bangla-bert
321436	None	bangla-bert
755018	None	bangla-bert
798262	Political Hate	bangla-bert
866278	None	bangla-bert
210321	Political Hate	bangla-bert
363164	None	bangla-bert
370542	None	bangla-bert
132703	None	bangla-bert
601946	Abusive	bangla-bert
897150	None	bangla-bert
256376	None	bangla-bert
240015	None	bangla-bert
259547	Abusive	bangla-bert
67131	None	bangla-bert
923885	None	bangla-bert
226135	None	bangla-bert
662300	None	bangla-bert
677456	None	bangla-bert
485008	Abusive	bangla-bert
529942	Profane	bangla-bert
914346	None	bangla-bert
298173	Political Hate	bangla-bert
446809	None	bangla-bert
671424	Abusive	bangla-bert
793955	Political Hate	bangla-bert
157776	Abusive	bangla-bert
283469	None	bangla-bert
206317	None	bangla-bert
33066	None	bangla-bert
36214	Political Hate	bangla-bert
683112	None	bangla-bert
831416	Religious Hate	bangla-bert
473865	None	bangla-bert
783655	Political Hate	bangla-bert
344565	None	bangla-bert
240377	None	bangla-bert
205517	None	bangla-bert
624990	None	bangla-bert
114646	Profane	bangla-bert
860260	Political Hate	bangla-bert
321233	None	bangla-bert
287639	Political Hate	bangla-bert
698525	None	bangla-bert
640865	None	bangla-bert
493551	None	bangla-bert
329369	None	bangla-bert
687000	Profane	bangla-bert
938515	None	bangla-bert
71327	None	bangla-bert
82872	Abusive	bangla-bert
564549	None	bangla-bert
93050	Political Hate	bangla-bert
684599	None	bangla-bert
923214	None	bangla-bert
712666	None	bangla-bert
516447	None	bangla-bert
789503	None	bangla-bert
126197	Abusive	bangla-bert
83510	None	bangla-bert
693378	None	bangla-bert
766830	Abusive	bangla-bert
917369	Abusive	bangla-bert
140689	Profane	bangla-bert
828319	None	bangla-bert
441784	None	bangla-bert
584069	None	bangla-bert
595722	None	bangla-bert
587975	Abusive	bangla-bert
737847	None	bangla-bert
355260	None	bangla-bert
208807	None	bangla-bert
698527	Abusive	bangla-bert
342704	None	bangla-bert
281083	None	bangla-bert
594110	Political Hate	bangla-bert
208175	Political Hate	bangla-bert
536181	Abusive	bangla-bert
562508	None	bangla-bert
844368	Political Hate	bangla-bert
355570	Abusive	bangla-bert
576652	None	bangla-bert
230254	Political Hate	bangla-bert
396913	None	bangla-bert
160607	None	bangla-bert
775615	None	bangla-bert
634523	Political Hate	bangla-bert
313291	Abusive	bangla-bert
631046	Abusive	bangla-bert
550426	Political Hate	bangla-bert
807498	None	bangla-bert
388081	None	bangla-bert
532701	None	bangla-bert
506934	None	bangla-bert
322440	None	bangla-bert
507780	None	bangla-bert
133106	None	bangla-bert
584019	Political Hate	bangla-bert
474793	None	bangla-bert
890928	None	bangla-bert
888703	None	bangla-bert
391227	None	bangla-bert
511127	None	bangla-bert
507374	None	bangla-bert
680347	None	bangla-bert
63627	None	bangla-bert
903197	Abusive	bangla-bert
938868	None	bangla-bert
675732	None	bangla-bert
482546	None	bangla-bert
675440	None	bangla-bert
115168	None	bangla-bert
352533	Political Hate	bangla-bert
630861	Abusive	bangla-bert
768879	Abusive	bangla-bert
882539	None	bangla-bert
558518	None	bangla-bert
937312	None	bangla-bert
422059	None	bangla-bert
416662	None	bangla-bert
632696	Abusive	bangla-bert
203962	None	bangla-bert
857709	None	bangla-bert
793617	Abusive	bangla-bert
486353	None	bangla-bert
635854	None	bangla-bert
84223	None	bangla-bert
150930	None	bangla-bert
156149	None	bangla-bert
772243	Abusive	bangla-bert
644418	None	bangla-bert
723392	Political Hate	bangla-bert
717266	None	bangla-bert
75367	Religious Hate	bangla-bert
398304	None	bangla-bert
350619	None	bangla-bert
633361	Abusive	bangla-bert
545400	None	bangla-bert
184710	Religious Hate	bangla-bert
126450	None	bangla-bert
157874	Abusive	bangla-bert
268695	None	bangla-bert
443262	Profane	bangla-bert
405050	Abusive	bangla-bert
475199	None	bangla-bert
909906	None	bangla-bert
619424	Profane	bangla-bert
338317	Political Hate	bangla-bert
208842	Abusive	bangla-bert
297713	Political Hate	bangla-bert
198549	Political Hate	bangla-bert
240451	None	bangla-bert
432313	None	bangla-bert
556009	None	bangla-bert
291078	None	bangla-bert
647866	None	bangla-bert
885374	Abusive	bangla-bert
149363	None	bangla-bert
169573	None	bangla-bert
456507	Abusive	bangla-bert
589233	None	bangla-bert
112377	None	bangla-bert
831724	Abusive	bangla-bert
5407	None	bangla-bert
15943	Political Hate	bangla-bert
741246	None	bangla-bert
61405	None	bangla-bert
915869	None	bangla-bert
511267	None	bangla-bert
1471	None	bangla-bert
367605	Religious Hate	bangla-bert
174842	Abusive	bangla-bert
137391	None	bangla-bert
840729	None	bangla-bert
416127	Abusive	bangla-bert
330333	Abusive	bangla-bert
670421	None	bangla-bert
242499	Political Hate	bangla-bert
144117	None	bangla-bert
639424	Abusive	bangla-bert
394368	Religious Hate	bangla-bert
291259	Abusive	bangla-bert
142509	None	bangla-bert
226408	Abusive	bangla-bert
486351	None	bangla-bert
865343	None	bangla-bert
490548	None	bangla-bert
430804	None	bangla-bert
292631	None	bangla-bert
399708	None	bangla-bert
62074	None	bangla-bert
277817	None	bangla-bert
451449	None	bangla-bert
937837	None	bangla-bert
69996	Political Hate	bangla-bert
472779	None	bangla-bert
593869	Political Hate	bangla-bert
113374	None	bangla-bert
295098	None	bangla-bert
688164	None	bangla-bert
754307	Religious Hate	bangla-bert
185344	Abusive	bangla-bert
206819	None	bangla-bert
776128	Religious Hate	bangla-bert
438265	None	bangla-bert
586064	None	bangla-bert
588534	None	bangla-bert
863686	None	bangla-bert
694501	Abusive	bangla-bert
97900	None	bangla-bert
166900	None	bangla-bert
109971	None	bangla-bert
497464	None	bangla-bert
376477	None	bangla-bert
65718	None	bangla-bert
784043	Abusive	bangla-bert
702897	None	bangla-bert
352371	None	bangla-bert
52223	None	bangla-bert
131128	None	bangla-bert
13831	Abusive	bangla-bert
148597	None	bangla-bert
60602	Abusive	bangla-bert
752509	Political Hate	bangla-bert
730085	None	bangla-bert
625048	None	bangla-bert
541629	Abusive	bangla-bert
895206	None	bangla-bert
725993	None	bangla-bert
296053	None	bangla-bert
240086	None	bangla-bert
106374	Abusive	bangla-bert
2358	None	bangla-bert
655996	None	bangla-bert
2640	Political Hate	bangla-bert
583695	Abusive	bangla-bert
740126	Abusive	bangla-bert
116038	Abusive	bangla-bert
839438	None	bangla-bert
216777	None	bangla-bert
717153	None	bangla-bert
628314	Profane	bangla-bert
49560	Abusive	bangla-bert
484546	None	bangla-bert
411292	Abusive	bangla-bert
739397	Abusive	bangla-bert
33049	None	bangla-bert
234943	Abusive	bangla-bert
85567	None	bangla-bert
898840	None	bangla-bert
110149	Abusive	bangla-bert
928802	Profane	bangla-bert
65232	None	bangla-bert
609733	None	bangla-bert
607110	None	bangla-bert
656146	None	bangla-bert
122819	None	bangla-bert
924773	Abusive	bangla-bert
855239	None	bangla-bert
455140	None	bangla-bert
172685	Political Hate	bangla-bert
705941	None	bangla-bert
317297	None	bangla-bert
637876	Political Hate	bangla-bert
198449	None	bangla-bert
822721	Religious Hate	bangla-bert
347419	None	bangla-bert
503146	None	bangla-bert
601962	Profane	bangla-bert
847061	Profane	bangla-bert
449847	Abusive	bangla-bert
266272	None	bangla-bert
579593	Abusive	bangla-bert
696370	None	bangla-bert
282600	None	bangla-bert
901656	None	bangla-bert
348015	None	bangla-bert
436616	None	bangla-bert
257730	Political Hate	bangla-bert
662170	None	bangla-bert
385756	None	bangla-bert
359726	None	bangla-bert
660956	None	bangla-bert
767839	None	bangla-bert
104694	None	bangla-bert
939708	Abusive	bangla-bert
918343	None	bangla-bert
169088	None	bangla-bert
559219	None	bangla-bert
313940	Profane	bangla-bert
156518	None	bangla-bert
475465	None	bangla-bert
796521	None	bangla-bert
340667	None	bangla-bert
871730	None	bangla-bert
526989	None	bangla-bert
2000	Profane	bangla-bert
770360	None	bangla-bert
97016	None	bangla-bert
759827	None	bangla-bert
121027	None	bangla-bert
398334	None	bangla-bert
88547	Abusive	bangla-bert
388063	Abusive	bangla-bert
584267	None	bangla-bert
199146	None	bangla-bert
862801	None	bangla-bert
663203	None	bangla-bert
384078	None	bangla-bert
674707	None	bangla-bert
248801	None	bangla-bert
434904	None	bangla-bert
892832	Political Hate	bangla-bert
849635	None	bangla-bert
357655	None	bangla-bert
38822	None	bangla-bert
15868	None	bangla-bert
92875	None	bangla-bert
881948	None	bangla-bert
930602	None	bangla-bert
297212	None	bangla-bert
720687	None	bangla-bert
129760	None	bangla-bert
195054	None	bangla-bert
109394	None	bangla-bert
869427	None	bangla-bert
916439	Profane	bangla-bert
137360	None	bangla-bert
617422	None	bangla-bert
78119	Abusive	bangla-bert
723502	None	bangla-bert
478562	Abusive	bangla-bert
65211	Political Hate	bangla-bert
509559	None	bangla-bert
326033	Profane	bangla-bert
863542	Political Hate	bangla-bert
700913	Abusive	bangla-bert
674516	None	bangla-bert
559600	Abusive	bangla-bert
503290	None	bangla-bert
896878	None	bangla-bert
134107	None	bangla-bert
249718	None	bangla-bert
163349	None	bangla-bert
401513	None	bangla-bert
650595	Abusive	bangla-bert
752284	None	bangla-bert
865890	Abusive	bangla-bert
186435	None	bangla-bert
373339	None	bangla-bert
286709	None	bangla-bert
643016	None	bangla-bert
27134	None	bangla-bert
593062	None	bangla-bert
676443	None	bangla-bert
614707	None	bangla-bert
61510	Abusive	bangla-bert
153559	None	bangla-bert
433441	None	bangla-bert
216305	Political Hate	bangla-bert
910124	None	bangla-bert
620809	Abusive	bangla-bert
932421	Abusive	bangla-bert
425270	Profane	bangla-bert
273781	None	bangla-bert
187613	Political Hate	bangla-bert
124364	None	bangla-bert
877298	Abusive	bangla-bert
605600	Abusive	bangla-bert
349142	None	bangla-bert
780477	Abusive	bangla-bert
850714	Abusive	bangla-bert
182549	Political Hate	bangla-bert
591436	None	bangla-bert
532973	Religious Hate	bangla-bert
254837	None	bangla-bert
570134	None	bangla-bert
600873	None	bangla-bert
897692	Abusive	bangla-bert
145602	None	bangla-bert
674074	None	bangla-bert
617154	Abusive	bangla-bert
131424	None	bangla-bert
863095	None	bangla-bert
753046	Political Hate	bangla-bert
889442	None	bangla-bert
290088	None	bangla-bert
158006	None	bangla-bert
915317	None	bangla-bert
928884	Abusive	bangla-bert
845497	Political Hate	bangla-bert
337012	None	bangla-bert
806329	None	bangla-bert
513110	None	bangla-bert
313334	None	bangla-bert
843096	Abusive	bangla-bert
406040	None	bangla-bert
436473	None	bangla-bert
864150	None	bangla-bert
307617	None	bangla-bert
486690	None	bangla-bert
197326	Political Hate	bangla-bert
295541	Abusive	bangla-bert
264754	None	bangla-bert
214178	None	bangla-bert
288143	None	bangla-bert
77822	Profane	bangla-bert
659471	None	bangla-bert
441154	Religious Hate	bangla-bert
304049	Abusive	bangla-bert
635950	None	bangla-bert
863812	Profane	bangla-bert
642147	None	bangla-bert
206032	Political Hate	bangla-bert
936269	None	bangla-bert
87245	None	bangla-bert
831967	Political Hate	bangla-bert
773650	None	bangla-bert
578805	Profane	bangla-bert
54423	None	bangla-bert
187408	None	bangla-bert
446182	None	bangla-bert
240952	Abusive	bangla-bert
609430	None	bangla-bert
32107	None	bangla-bert
257935	None	bangla-bert
823899	None	bangla-bert
685145	None	bangla-bert
398331	Political Hate	bangla-bert
153024	None	bangla-bert
175531	Profane	bangla-bert
446560	Profane	bangla-bert
418942	None	bangla-bert
594047	None	bangla-bert
542787	None	bangla-bert
506353	Political Hate	bangla-bert
841821	None	bangla-bert
427816	Political Hate	bangla-bert
186081	Political Hate	bangla-bert
63181	None	bangla-bert
474439	None	bangla-bert
266781	Religious Hate	bangla-bert
863333	None	bangla-bert
99308	None	bangla-bert
411516	Abusive	bangla-bert
917711	Abusive	bangla-bert
297791	Abusive	bangla-bert
837511	None	bangla-bert
516611	None	bangla-bert
361540	None	bangla-bert
289632	None	bangla-bert
557898	Abusive	bangla-bert
478098	None	bangla-bert
219774	None	bangla-bert
639571	None	bangla-bert
458029	Profane	bangla-bert
26006	Profane	bangla-bert
615341	None	bangla-bert
365272	Abusive	bangla-bert
446152	Profane	bangla-bert
924516	None	bangla-bert
912732	None	bangla-bert
3376	None	bangla-bert
873206	None	bangla-bert
147620	None	bangla-bert
48729	None	bangla-bert
118706	Political Hate	bangla-bert
496287	None	bangla-bert
633278	None	bangla-bert
556423	None	bangla-bert
192902	None	bangla-bert
750879	None	bangla-bert
715529	None	bangla-bert
134711	None	bangla-bert
660107	None	bangla-bert
437345	None	bangla-bert
214891	Political Hate	bangla-bert
900908	None	bangla-bert
763719	None	bangla-bert
315444	Abusive	bangla-bert
455707	None	bangla-bert
290653	None	bangla-bert
691850	None	bangla-bert
318941	Abusive	bangla-bert
182737	None	bangla-bert
285028	Political Hate	bangla-bert
904223	None	bangla-bert
291039	None	bangla-bert
645637	Abusive	bangla-bert
328958	None	bangla-bert
168539	None	bangla-bert
375694	None	bangla-bert
501348	None	bangla-bert
30143	None	bangla-bert
565055	None	bangla-bert
481211	Abusive	bangla-bert
8371	None	bangla-bert
757645	None	bangla-bert
738411	Abusive	bangla-bert
767666	Political Hate	bangla-bert
261763	None	bangla-bert
351660	Profane	bangla-bert
476158	Political Hate	bangla-bert
865803	None	bangla-bert
111001	Political Hate	bangla-bert
61880	None	bangla-bert
530551	None	bangla-bert
583453	None	bangla-bert
764722	None	bangla-bert
511997	Abusive	bangla-bert
884021	None	bangla-bert
434129	None	bangla-bert
318573	Religious Hate	bangla-bert
760589	Abusive	bangla-bert
804650	None	bangla-bert
528897	None	bangla-bert
716202	None	bangla-bert
670284	None	bangla-bert
869145	Abusive	bangla-bert
565795	None	bangla-bert
801623	None	bangla-bert
553622	None	bangla-bert
690373	None	bangla-bert
421996	Abusive	bangla-bert
584595	None	bangla-bert
790924	None	bangla-bert
839704	Political Hate	bangla-bert
939459	Abusive	bangla-bert
533215	None	bangla-bert
72989	Political Hate	bangla-bert
577898	None	bangla-bert
912409	None	bangla-bert
53215	Profane	bangla-bert
475181	None	bangla-bert
220520	Political Hate	bangla-bert
773174	None	bangla-bert
758814	Profane	bangla-bert
606304	None	bangla-bert
500972	None	bangla-bert
685233	None	bangla-bert
475996	None	bangla-bert
741328	None	bangla-bert
236813	Political Hate	bangla-bert
250911	None	bangla-bert
184353	Abusive	bangla-bert
502301	None	bangla-bert
104489	None	bangla-bert
744914	None	bangla-bert
446232	Abusive	bangla-bert
481561	Abusive	bangla-bert
191354	None	bangla-bert
900461	None	bangla-bert
415829	Abusive	bangla-bert
613833	Profane	bangla-bert
718306	Abusive	bangla-bert
496351	Profane	bangla-bert
708366	None	bangla-bert
578669	None	bangla-bert
487410	None	bangla-bert
360171	Profane	bangla-bert
97036	Profane	bangla-bert
782954	None	bangla-bert
881673	Profane	bangla-bert
193131	Abusive	bangla-bert
113089	None	bangla-bert
640459	None	bangla-bert
863300	Abusive	bangla-bert
166765	None	bangla-bert
465600	Political Hate	bangla-bert
524846	None	bangla-bert
377912	Political Hate	bangla-bert
647030	None	bangla-bert
389642	Abusive	bangla-bert
838786	None	bangla-bert
683189	Abusive	bangla-bert
44208	None	bangla-bert
129258	None	bangla-bert
537879	None	bangla-bert
828437	None	bangla-bert
910625	Abusive	bangla-bert
897725	Abusive	bangla-bert
129142	None	bangla-bert
520734	None	bangla-bert
274405	Abusive	bangla-bert
187223	Political Hate	bangla-bert
679398	Abusive	bangla-bert
843495	None	bangla-bert
888495	None	bangla-bert
762390	None	bangla-bert
385068	None	bangla-bert
668222	None	bangla-bert
555345	None	bangla-bert
427170	None	bangla-bert
358744	None	bangla-bert
175954	None	bangla-bert
685817	None	bangla-bert
484759	Abusive	bangla-bert
395035	None	bangla-bert
176114	None	bangla-bert
300739	None	bangla-bert
528625	None	bangla-bert
511158	None	bangla-bert
453505	Political Hate	bangla-bert
293969	Abusive	bangla-bert
647598	None	bangla-bert
553699	Political Hate	bangla-bert
95466	Abusive	bangla-bert
835149	Abusive	bangla-bert
748909	Abusive	bangla-bert
194226	Political Hate	bangla-bert
142118	None	bangla-bert
870702	Abusive	bangla-bert
364886	None	bangla-bert
112111	None	bangla-bert
899804	None	bangla-bert
696989	None	bangla-bert
887716	None	bangla-bert
660186	None	bangla-bert
901036	None	bangla-bert
510168	None	bangla-bert
203599	Abusive	bangla-bert
423343	Abusive	bangla-bert
83835	Abusive	bangla-bert
828482	None	bangla-bert
409288	Religious Hate	bangla-bert
40340	None	bangla-bert
801215	None	bangla-bert
666047	None	bangla-bert
700821	None	bangla-bert
701993	None	bangla-bert
254382	None	bangla-bert
623669	Political Hate	bangla-bert
175843	Abusive	bangla-bert
400663	None	bangla-bert
468054	None	bangla-bert
610633	Political Hate	bangla-bert
620852	None	bangla-bert
236927	Political Hate	bangla-bert
359516	Abusive	bangla-bert
863317	None	bangla-bert
590188	Abusive	bangla-bert
650314	None	bangla-bert
412701	Profane	bangla-bert
720266	None	bangla-bert
866888	None	bangla-bert
530041	None	bangla-bert
495166	None	bangla-bert
114148	Political Hate	bangla-bert
646106	None	bangla-bert
818634	Abusive	bangla-bert
489381	None	bangla-bert
366857	None	bangla-bert
216109	None	bangla-bert
634558	None	bangla-bert
250297	None	bangla-bert
21656	Religious Hate	bangla-bert
356050	Profane	bangla-bert
450240	None	bangla-bert
511964	Profane	bangla-bert
755491	None	bangla-bert
860563	None	bangla-bert
550210	None	bangla-bert
914642	None	bangla-bert
833043	Abusive	bangla-bert
562960	None	bangla-bert
725746	Abusive	bangla-bert
222268	Political Hate	bangla-bert
93194	None	bangla-bert
227813	Political Hate	bangla-bert
582922	None	bangla-bert
86299	None	bangla-bert
186473	Political Hate	bangla-bert
905562	None	bangla-bert
95832	Political Hate	bangla-bert
53058	None	bangla-bert
885378	None	bangla-bert
821731	None	bangla-bert
179744	None	bangla-bert
856357	None	bangla-bert
879521	None	bangla-bert
101653	Political Hate	bangla-bert
922502	None	bangla-bert
376711	None	bangla-bert
375336	None	bangla-bert
569127	Abusive	bangla-bert
233456	Abusive	bangla-bert
602142	None	bangla-bert
259506	None	bangla-bert
647250	None	bangla-bert
236784	Abusive	bangla-bert
590227	None	bangla-bert
349521	None	bangla-bert
511561	None	bangla-bert
565514	None	bangla-bert
279985	Religious Hate	bangla-bert
181848	Profane	bangla-bert
117547	Political Hate	bangla-bert
485388	None	bangla-bert
883559	None	bangla-bert
108865	Political Hate	bangla-bert
892775	Profane	bangla-bert
446371	Abusive	bangla-bert
325101	None	bangla-bert
554771	None	bangla-bert
714174	Abusive	bangla-bert
175345	Profane	bangla-bert
666577	None	bangla-bert
453621	Abusive	bangla-bert
658873	None	bangla-bert
467382	Political Hate	bangla-bert
600530	Political Hate	bangla-bert
56405	None	bangla-bert
50971	None	bangla-bert
455443	None	bangla-bert
31476	None	bangla-bert
869211	None	bangla-bert
800776	None	bangla-bert
838918	Abusive	bangla-bert
442892	None	bangla-bert
496264	None	bangla-bert
52071	None	bangla-bert
136763	None	bangla-bert
432625	Religious Hate	bangla-bert
271540	Political Hate	bangla-bert
867436	None	bangla-bert
122013	Political Hate	bangla-bert
413841	None	bangla-bert
374473	None	bangla-bert
153845	None	bangla-bert
35355	Abusive	bangla-bert
238900	None	bangla-bert
206596	None	bangla-bert
723545	Religious Hate	bangla-bert
187726	None	bangla-bert
143551	None	bangla-bert
801088	None	bangla-bert
110960	None	bangla-bert
35530	Profane	bangla-bert
242127	Abusive	bangla-bert
266531	None	bangla-bert
32418	Abusive	bangla-bert
169879	None	bangla-bert
555753	None	bangla-bert
383955	None	bangla-bert
265215	None	bangla-bert
513523	None	bangla-bert
120318	None	bangla-bert
66478	None	bangla-bert
579738	Profane	bangla-bert
172555	None	bangla-bert
227264	None	bangla-bert
350192	None	bangla-bert
761236	None	bangla-bert
702997	None	bangla-bert
264513	None	bangla-bert
268929	Abusive	bangla-bert
808583	None	bangla-bert
614492	None	bangla-bert
436989	None	bangla-bert
57969	None	bangla-bert
269802	None	bangla-bert
395283	Abusive	bangla-bert
414051	None	bangla-bert
634572	Religious Hate	bangla-bert
712780	None	bangla-bert
426486	None	bangla-bert
658649	Abusive	bangla-bert
514546	None	bangla-bert
654533	None	bangla-bert
811644	None	bangla-bert
753518	None	bangla-bert
212933	None	bangla-bert
481410	Abusive	bangla-bert
879597	Abusive	bangla-bert
916269	None	bangla-bert
596268	Political Hate	bangla-bert
127543	Profane	bangla-bert
530446	None	bangla-bert
662349	None	bangla-bert
192423	Political Hate	bangla-bert
915911	Abusive	bangla-bert
832025	Profane	bangla-bert
235058	Political Hate	bangla-bert
342722	None	bangla-bert
590535	Abusive	bangla-bert
117357	None	bangla-bert
229350	Political Hate	bangla-bert
155928	None	bangla-bert
769055	None	bangla-bert
84582	Abusive	bangla-bert
451655	None	bangla-bert
818907	None	bangla-bert
646802	None	bangla-bert
13335	Abusive	bangla-bert
542439	None	bangla-bert
580999	None	bangla-bert
84554	Profane	bangla-bert
416200	Political Hate	bangla-bert
590424	None	bangla-bert
856234	Political Hate	bangla-bert
833479	None	bangla-bert
628374	Political Hate	bangla-bert
766711	None	bangla-bert
533202	None	bangla-bert
380661	None	bangla-bert
634726	Political Hate	bangla-bert
850101	Abusive	bangla-bert
720638	None	bangla-bert
918299	Abusive	bangla-bert
187	None	bangla-bert
864313	Abusive	bangla-bert
510537	None	bangla-bert
897340	None	bangla-bert
542171	None	bangla-bert
409108	None	bangla-bert
22085	None	bangla-bert
63549	Abusive	bangla-bert
438546	None	bangla-bert
